age;Lo;Mo;So;Lu;Mu;Su
13;-1,29485;1,26601;0,08496;1,50222;3,5984;0,06691
13,1;-0,93034;1,2776;0,08596;1,85194;3,62245;0,0665
13,2;-0,56355;1,28946;0,08661;2,18619;3,64592;0,06587
13,3;-0,19479;1,30154;0,0869;2,50413;3,66882;0,06504
13,4;0,17549;1,3138;0,08683;2,80525;3,69114;0,06405
13,5;0,54658;1,32615;0,08641;3,09022;3,71287;0,0629
13,6;0,9179;1,33855;0,08565;3,36118;3,73399;0,06161
13,7;1,28884;1,35092;0,08457;3,62157;3,75444;0,06022
13,8;1,6582;1,36318;0,0832;3,87396;3,77416;0,05873
13,9;2,02565;1,37527;0,08156;4,11749;3,79315;0,05719
14;2,39055;1,38713;0,0797;4,35011;3,81145;0,05559
14,1;2,75212;1,39868;0,07764;4,56945;3,829;0,05397
14,2;3,10942;1,40987;0,07542;4,77433;3,84584;0,05235
14,3;3,46216;1,42066;0,07307;4,96414;3,86198;0,05073
14,4;3,81021;1,43101;0,07064;5,13909;3,87749;0,04913
14,5;4,15182;1,44086;0,06815;5,2981;3,89231;0,04756
14,6;4,48773;1,45022;0,06563;5,44325;3,90654;0,04604
14,7;4,81719;1,45906;0,0631;5,57543;3,92018;0,04456
14,8;5,13878;1,46734;0,06061;5,6951;3,9332;0,04314
14,9;5,45216;1,47506;0,05816;5,80339;3,94563;0,04179
15;5,7581;1,48226;0,05577;5,90249;3,95755;0,0405
15,1;6,05481;1,48891;0,05345;5,99336;3,96889;0,03928
15,2;6,34243;1,49505;0,05123;6,0775;3,97969;0,03814
15,3;6,62014;1,50067;0,04911;6,15583;3,98992;0,03706
15,4;6,8871;1,50579;0,04709;6,22908;3,99958;0,03606
15,5;7,14526;1,51049;0,04517;6,29865;4,00875;0,03512
15,6;7,39157;1,51473;0,04338;6,36415;4,01735;0,03424
15,7;7,62692;1,51858;0,04169;6,4263;4,02543;0,03343
15,8;7,85098;1,52205;0,04012;6,48536;4,03302;0,03268
15,9;8,0641;1,52519;0,03866;6,54169;4,04018;0,03198
16;8,26618;1,52802;0,0373;6,59542;4,04692;0,03133
16,1;8,45777;1,53058;0,03604;6,64681;4,05328;0,03073
16,2;8,63807;1,53288;0,03488;6,6957;4,05925;0,03017
16,3;8,80934;1,53498;0,03379;6,74265;4,0649;0,02965
16,4;8,96985;1,53687;0,0328;6,78716;4,0702;0,02917
16,5;9,12016;1,53858;0,03189;6,8294;4,07518;0,02873
16,6;9,2619;1,54014;0,03104;6,86979;4,07989;0,02831
16,7;9,39345;1,54154;0,03028;6,90795;4,0843;0,02792
16,8;9,51631;1,54281;0,02957;6,94429;4,08846;0,02757
16,9;9,62986;1,54396;0,02893;6,97871;4,09237;0,02723
17;9,73819;1,54504;0,02833;7,01215;4,09615;0,02691
17,1;9,83671;1,546;0,02779;7,04355;4,09968;0,02662
17,2;9,92883;1,54689;0,02729;7,07364;4,10304;0,02634
17,3;10,01372;1,54769;0,02684;7,1021;4,1062;0,02609
17,4;10,09209;1,54842;0,02642;7,12898;4,10917;0,02585
17,5;10,16272;1,54908;0,02606;7,15374;4,1119;0,02563
17,6;10,23046;1,5497;0,02571;7,17768;4,11452;0,02542
17,7;10,291;1,55026;0,0254;7,19942;4,1169;0,02523
17,8;10,34652;1,55076;0,02512;7,21959;4,1191;0,02506
17,9;10,3979;1,55123;0,02486;7,23844;4,12115;0,0249
18;10,44526;1,55165;0,02463;7,25598;4,12306;0,02475
18,1;10,48861;1,55205;0,02441;7,27216;4,12481;0,02462
18,2;10,52835;1,5524;0,02422;7,28713;4,12643;0,02449
18,3;10,56559;1,55274;0,02404;7,3009;4,12793;0,02438
18,4;10,59895;1,55304;0,02388;7,31381;4,12932;0,02427
18,5;10,63183;1,55333;0,02372;7,32667;4,13071;0,02417
18,6;10,66218;1,5536;0,02357;7,3385;4,13199;0,02407
18,7;10,69148;1,55386;0,02343;7,35001;4,13323;0,02398
18,8;10,71998;1,55412;0,0233;7,36129;4,13445;0,02389
18,9;10,7481;1,55437;0,02316;7,37245;4,13565;0,0238
19;10,77602;1,55462;0,02303;7,38352;4,13685;0,02371
